Facility Name,Facility Name Normalized,Changed,VLOOKUP,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives.1,Resident Probable Positives.1,Resident Deaths.1,Resident Probable Deaths.1,Staff Positive.1,Staff Probable Positives.1,Staff Deaths.1,Staff Probable Deaths.1,Resident/Staff Positives.1,Resident/Staff Probable Positives.1,Resident/Staff Deaths.1,Resident/Staff Probable Deaths.1,Residents Tested,Staff Tested,Personal Protective Equipment,VLOOKUP2,Change Score,VlookupMatch
Widow's Home,WIDOW'S HOME,,WIDOW'S HOME,20201104,OH,MONTGOMERY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIDOW'S HOME,100,True
Wood Glen Alzheimer Community,WOOD GLEN ALZHEIMER COMMUNITY,,WOOD GLEN ALZHEIMER COMMUNITY,20201104,OH,MONTGOMERY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOOD GLEN ALZHEIMER COMMUNITY,100,True
Highland Oaks Health Center,HIGHLAND OAKS HEALTH CENTER,,HIGHLAND OAKS HEALTH CENTER,20201104,OH,MORGAN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGHLAND OAKS HEALTH CENTER,100,True
Bennington Glen,BENNINGTON GLEN NURSING AND REHABILITATION,,BENNINGTON GLEN NURSING AND REHABILITATION,20201104,OH,MORROW,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BENNINGTON GLEN NURSING AND REHABILITATION,100,True
Adams Lane Care Center,CONTINUING HEALTHCARE AT ADAMS LANE,x,,20201104,OH,MUSKINGUM,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTINUING HEALTHCARE AT ADAMS LANE,100,False
Altercare Zanesville,ALTERCARE ZANESVILLE,,ALTERCARE ZANESVILLE,20201104,OH,MUSKINGUM,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALTERCARE ZANESVILLE,100,True
Cedar Hill Care Center,CONTINUING HEALTHCARE AT CEDAR HILL,x,CONTINUING HEALTHCARE AT CEDAR HILL,20201104,OH,MUSKINGUM,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTINUING HEALTHCARE AT CEDAR HILL,100,True
Helen Purcell,HELEN PURCELL,,,20201104,OH,MUSKINGUM,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTINUING HEALTHCARE AT STERLING SUITES,41,False
Oaks at Bethesda,OAKS AT BETHESDA,,OAKS AT BETHESDA,20201104,OH,MUSKINGUM,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAKS AT BETHESDA,100,True
Oaks at Northpointe,OAKS AT NORTHPOINTE,,OAKS AT NORTHPOINTE,20201104,OH,MUSKINGUM,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAKS AT NORTHPOINTE,100,True
Primrose,PRIMROSE,,,20201022,OH,MUSKINGUM,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTINUING HEALTHCARE AT BECKETT HOUSE,43,False
Primrose Retirement Community,PRIMROSE RETIREMENT COMMUNITY,,,20201104,OH,MUSKINGUM,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTINUING HEALTHCARE AT STERLING SUITES,36,False
Willow Haven Nursing Home,WILLOW HAVEN NURSING HOME,,,20201104,OH,MUSKINGUM,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTINUING HEALTHCARE AT WILLOW HAVEN,62,False
Altercare,ALTERCARE,,,20201022,OH,NOBLE,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUMMIT ACRES NURSING HOME,40,False
Edgewood Manor,EDGEWOOD MANOR REHABILITATION AND HEALTHCARE CENTER,,EDGEWOOD MANOR REHABILITATION AND HEALTHCARE CENTER,20201104,OH,OTTAWA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EDGEWOOD MANOR REHABILITATION AND HEALTHCARE CENTER,100,True
Genoa Retirement Village,GENOA RETIREMENT VILLAGE,,GENOA RETIREMENT VILLAGE,20201104,OH,OTTAWA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENOA RETIREMENT VILLAGE,100,True
Luther Home of Mercy,LUTHER HOME OF MERCY,,,20201104,OH,OTTAWA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTERBEIN NORTH SHORE,39,False
Ottawa Riverview Health Care Campus,OTTAWA CO RIVERVIEW NURSING HO,x,OTTAWA CO RIVERVIEW NURSING HO,20201104,OH,OTTAWA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTAWA CO RIVERVIEW NURSING HO,100,True
Otterbein Marblehead SeniorLife Community,OTTERBEIN MARBLEHEAD SENIORLIFE COMMUNITY,,,20201104,OH,OTTAWA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTERBEIN NORTH SHORE,86,False
Country Inn Enhanced Living Center,COUNTRY INN ENHANCED LIVING CENTER,,,20201022,OH,PAULDING,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VANCREST OF PAYNE,37,False
The Gardens of Paulding,THE GARDENS OF PAULDING,,,20201104,OH,PAULDING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARDENS OF PAULDING,95,False
Vancrest of Payne,VANCREST OF PAYNE,,VANCREST OF PAYNE,20201104,OH,PAULDING,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VANCREST OF PAYNE,100,True
Altercare Thornville,ALTERCARE THORNVILLE,,ALTERCARE THORNVILLE,20201104,OH,PERRY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALTERCARE THORNVILLE,100,True
Mt Aloysius,MT ALOYSIUS,,,20201104,OH,PERRY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKLD NEW LEXINGTON ILLUMINATE HEALTH CARE NEW LEXINGTON,40,False
Residentials Inc,RESIDENTIALS,,,20201022,OH,PERRY,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKLD NEW LEXINGTON ILLUMINATE HEALTH CARE NEW LEXINGTON,43,False
SKLD New Lexington,SKLD NEW LEXINGTON ILLUMINATE HEALTH CARE NEW LEXINGTON,,SKLD NEW LEXINGTON ILLUMINATE HEALTH CARE NEW LEXINGTON,20201104,OH,PERRY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKLD NEW LEXINGTON ILLUMINATE HEALTH CARE NEW LEXINGTON,100,True
Brown Memorial,BROWN MEMORIAL HOME,,BROWN MEMORIAL HOME,20201104,OH,PICKAWAY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROWN MEMORIAL HOME,100,True
Circleville Post Acute,CIRCLEVILLE POST ACUTE,,CIRCLEVILLE POST ACUTE,20201104,OH,PICKAWAY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIRCLEVILLE POST ACUTE,100,True
Logan Elm Health Care,LOGAN ELM HEALTH CARE CENTER,,LOGAN ELM HEALTH CARE CENTER,20201104,OH,PICKAWAY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGAN ELM HEALTH CARE CENTER,100,True
Pickaway Manor,PICKAWAY MANOR CARE CENTER,,PICKAWAY MANOR CARE CENTER,20201104,OH,PICKAWAY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICKAWAY MANOR CARE CENTER,100,True
National Church Residences at Bristol Village,NATIONAL CHURCH RESIDENCES AT BRISTOL VILLAGE,,NATIONAL CHURCH RESIDENCES AT BRISTOL VILLAGE,20201104,OH,PIKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL CHURCH RESIDENCES AT BRISTOL VILLAGE,100,True
Piketon Nursing Center,PIKETON NURSING CENTER,,PIKETON NURSING CENTER,20201104,OH,PIKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIKETON NURSING CENTER,100,True
The Pavilion at Piketon,THE PAVILION AT PIKETON,,THE PAVILION AT PIKETON,20201104,OH,PIKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE PAVILION AT PIKETON,100,True
Alpine,ALPINE,,,20201104,OH,PORTAGE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALTERCARE POST-ACUTE REHABILITATION CENTER,45,False
Altercare,ALTERCARE POST-ACUTE REHABILITATION CENTER,x,ALTERCARE POST-ACUTE REHABILITATION CENTER,20201104,OH,PORTAGE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALTERCARE POST-ACUTE REHABILITATION CENTER,100,True
Anna Maria,ANNA MARIA OF AURORA,x,ANNA MARIA OF AURORA,20201104,OH,PORTAGE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANNA MARIA OF AURORA,100,True
Arbors,ARBORS,,,20201104,OH,PORTAGE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARBORS AT STREETSBORO,90,False
Arbors at Streetsboro,ARBORS AT STREETSBORO,,ARBORS AT STREETSBORO,20201104,OH,PORTAGE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARBORS AT STREETSBORO,100,True
Aurora Manor,AURORA MANOR SPECIAL CARE CENTER,,AURORA MANOR SPECIAL CARE CENTER,20201104,OH,PORTAGE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AURORA MANOR SPECIAL CARE CENTER,100,True
Avenue of Aurora,AVENUE AT AURORA,,AVENUE AT AURORA,20201104,OH,PORTAGE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVENUE AT AURORA,100,True
Gardens at Liberty Park,GARDENS AT LIBERTY PARK,,,20201104,OH,PORTAGE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENSINGTON AT ANNA MARIA,48,False
Gardens at Liberty Place,GARDENS AT LIBERTY PLACE,,,20201022,OH,PORTAGE,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENSINGTON AT ANNA MARIA,44,False
Hattie Larlham,HATTIE LARLHAM,,,20201022,OH,PORTAGE,,Intermediate Care Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENT HEALTHCARE AND REHABILITATION,45,False
Independence Village of Aurora,INDEPENDENCE VILLAGE OF AURORA,,,20201104,OH,PORTAGE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENSINGTON AT ANNA MARIA,37,False
Independence of Portage Co Lincoln,INDEPENDENCE OF PORTAGE CO LINCOLN,,,20201104,OH,PORTAGE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENT HEALTHCARE AND REHABILITATION,38,False
Kensington at Anna Maria,KENSINGTON AT ANNA MARIA,,KENSINGTON AT ANNA MARIA,20201104,OH,PORTAGE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENSINGTON AT ANNA MARIA,100,True
Kent Healthcare Center,KENT HEALTHCARE AND REHABILITATION,,KENT HEALTHCARE AND REHABILITATION,20201104,OH,PORTAGE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENT HEALTHCARE AND REHABILITATION,100,True
Kentridge,KENTRIDGE,,,20201104,OH,PORTAGE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOODLANDS HEALTH AND REHABILITATION CENTER,48,False
Vista Veranda,VISTA VERANDA,,,20201022,OH,PORTAGE,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOODLANDS HEALTH AND REHABILITATION CENTER,41,False
Woodlands,WOODLANDS HEALTH AND REHABILITATION CENTER,,WOODLANDS HEALTH AND REHABILITATION CENTER,20201104,OH,PORTAGE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOODLANDS HEALTH AND REHABILITATION CENTER,100,True
Community Concepts,COMMUNITY CONCEPTS,,,20201022,OH,PREBLE,,Intermediate Care Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VANCREST HEALTH CARE CENTER OF EATON,38,False
Foundations,FOUNDATIONS,,,20201022,OH,PREBLE,,Intermediate Care Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAPLE GARDENS REHABILITIATION AND NURSING CENTER,41,False
Greenbriar Nursing Center,GREENBRIAR NURSING CENTER,,GREENBRIAR NURSING CENTER,20201104,OH,PREBLE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREENBRIAR NURSING CENTER,100,True
Maple Gardens,MAPLE GARDENS REHABILITIATION AND NURSING CENTER,x,MAPLE GARDENS REHABILITIATION AND NURSING CENTER,20201104,OH,PREBLE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAPLE GARDENS REHABILITIATION AND NURSING CENTER,100,True
VanCrest Healthcare,VANCREST HEALTHCARE,,,20201104,OH,PREBLE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VANCREST HEALTH CARE CENTER OF EATON,86,False
Autumn Court,AUTUMN COURT,,AUTUMN COURT,20201104,OH,PUTNAM,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUTUMN COURT,100,True
Hilty Home,HILTY MEMORIAL HOME,x,HILTY MEMORIAL HOME,20201104,OH,PUTNAM,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HILTY MEMORIAL HOME,100,True
Meadows of Kalida,MEADOWS OF KALIDA,,MEADOWS OF KALIDA,20201104,OH,PUTNAM,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEADOWS OF KALIDA,100,True
Meadows of Leipsic,MEADOWS OF LEIPSIC,,MEADOWS OF LEIPSIC,20201104,OH,PUTNAM,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEADOWS OF LEIPSIC,100,True
Meadows of Ottawa,MEADOWS OF OTTAWA,,MEADOWS OF OTTAWA,20201104,OH,PUTNAM,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEADOWS OF OTTAWA,100,True
Arbors at Mifflin,ARBORS AT MIFFLIN,,ARBORS AT MIFFLIN,20201104,OH,RICHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARBORS AT MIFFLIN,100,True
Country Meadows,COUNTRY MEADOW REHABILITATION AND NURSING CENTER,,COUNTRY MEADOW REHABILITATION AND NURSING CENTER,20201104,OH,RICHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COUNTRY MEADOW REHABILITATION AND NURSING CENTER,100,True
Crestwood Care Center,CRESTWOOD CARE CENTER,,CRESTWOOD CARE CENTER,20201104,OH,RICHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRESTWOOD CARE CENTER,100,True
Crystal Care Nursing and Rehab Center,CRYSTAL CARE CENTER OF MANSFIE,x,CRYSTAL CARE CENTER OF MANSFIE,20201104,OH,RICHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRYSTAL CARE CENTER OF MANSFIE,100,True
Elmcroft of Ontario,ELMCROFT OF ONTARIO,,,20201104,OH,RICHLAND,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GERIATRIC CENTER OF MANSFIELD,86,False
Lexington Court Care Center,LEXINGTON COURT CARE CENTER,,LEXINGTON COURT CARE CENTER,20201104,OH,RICHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEXINGTON COURT CARE CENTER,100,True
Liberty Nursing Center of Mansfield,LIBERTY NURSING CENTER OF MANSFIELD,,LIBERTY NURSING CENTER OF MANSFIELD,20201104,OH,RICHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIBERTY NURSING CENTER OF MANSFIELD,100,True
Mansfield Memorial Homes,MANSFIELD MEMORIAL HOMES,,,20201104,OH,RICHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GERIATRIC CENTER OF MANSFIELD,57,False
Oak Grove Manor,OAK GROVE MANOR,,OAK GROVE MANOR,20201104,OH,RICHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAK GROVE MANOR,100,True
Ontario Pointe,ONTARIO POINTE,,,20201104,OH,RICHLAND,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHELBY POINTE,60,False
Shelby Pointe,SHELBY POINTE,,SHELBY POINTE,20201104,OH,RICHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHELBY POINTE,100,True
Wedgewood Estates,WEDGEWOOD ESTATES,,,20201104,OH,RICHLAND,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINCHESTER TERRACE,40,False
Advancing Abilities- Scioto Trails Group Homes,ADVANCING ABILITIES- SCIOTO TRAILS GROUP HOMES,,,20201022,OH,ROSS,,Intermediate Care Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VINEYARDS AT CONCORD,40,False
Carecore at Westmoreland,WESTMORELAND PLACE,x,WESTMORELAND PLACE,20201104,OH,ROSS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTMORELAND PLACE,100,True
Heartland of Chillicothe,HEARTLAND OF CHILLICOTHE,,HEARTLAND OF CHILLICOTHE,20201104,OH,ROSS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEARTLAND OF CHILLICOTHE,100,True
Liberty Village,LIBERTY VILLAGE,,,20201104,OH,ROSS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALLEY VIEW ALZHEIMER'S CARE CENTER,48,False
Liberty Village Assisted Living,LIBERTY VILLAGE ASSISTED LIVING,,,20201022,OH,ROSS,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALLEY VIEW ALZHEIMER'S CARE CENTER,42,False
Mapleview Manor,MAPLE VIEW MANOR,x,MAPLE VIEW MANOR,20201104,OH,ROSS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAPLE VIEW MANOR,100,True
National Church Residences,NATIONAL CHURCH RESIDENCES CHILLICOTHE,,NATIONAL CHURCH RESIDENCES CHILLICOTHE,20201104,OH,ROSS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL CHURCH RESIDENCES CHILLICOTHE,100,True
Signature Healthcare of Chillicothe,SIGNATURE HEALTHCARE OF CHILLICOTHE,,SIGNATURE HEALTHCARE OF CHILLICOTHE,20201104,OH,ROSS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIGNATURE HEALTHCARE OF CHILLICOTHE,100,True
The Vineyards at Concord,VINEYARDS AT CONCORD,x,VINEYARDS AT CONCORD,20201104,OH,ROSS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VINEYARDS AT CONCORD,100,True
Valley View Alzheimer's Care Center,VALLEY VIEW ALZHEIMER'S CARE CENTER,,VALLEY VIEW ALZHEIMER'S CARE CENTER,20201104,OH,ROSS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALLEY VIEW ALZHEIMER'S CARE CENTER,100,True
Bethany Place,BETHANY PLACE,,,20201104,OH,SANDUSKY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTORIA PLACE OF CLYDE,86,False
Bethesda Care Center,BETHESDA CARE CENTER,,BETHESDA CARE CENTER,20201104,OH,SANDUSKY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETHESDA CARE CENTER,100,True
Clyde Gardens Place,CLYDE GARDENS PLACE,,,20201104,OH,SANDUSKY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTORIA PLACE OF CLYDE,69,False
Eden Springs Healthcare Center,EDEN SPRINGS HEALTHCARE CENTER,,EDEN SPRINGS HEALTHCARE CENTER,20201104,OH,SANDUSKY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EDEN SPRINGS HEALTHCARE CENTER,100,True
Elmwood of Fremont,ELMWOOD OF FREMONT,,,20201022,OH,SANDUSKY,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELMWOOD ASSISTED LIVING AND SKILLED NURSING OF FREMO,86,False
Heritage Village of Clyde,HERITAGE VILLAGE OF CLYDE,,,20201104,OH,SANDUSKY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELMWOOD ASSISTED LIVING AND SKILLED NURSING OF FREMO,86,False
Parkview Care Center,PARKVIEW CARE CENTER,,PARKVIEW CARE CENTER,20201104,OH,SANDUSKY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARKVIEW CARE CENTER,100,True
Valley View Health Campus,VALLEY VIEW HEALTH CAMPUS,,VALLEY VIEW HEALTH CAMPUS,20201104,OH,SANDUSKY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALLEY VIEW HEALTH CAMPUS,100,True
Windsor Lane Health Care,WINDSOR LANE HEALTH CARE CENTER,,WINDSOR LANE HEALTH CARE CENTER,20201104,OH,SANDUSKY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINDSOR LANE HEALTH CARE CENTER,100,True
Bernita Corporation,BERNITA CORPORATION,,,20201022,OH,SCIOTO,,Intermediate Care Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRYSTAL CARE CENTER OF PORTSMOUTH,48,False
Best Care,BEST CARE NURSING AND REHABILITATION CENTER,,BEST CARE NURSING AND REHABILITATION CENTER,20201104,OH,SCIOTO,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEST CARE NURSING AND REHABILITATION CENTER,100,True
Bridgeport,BRIDGEPORT NURSING AND REHABILITATION,x,BRIDGEPORT NURSING AND REHABILITATION,20201104,OH,SCIOTO,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRIDGEPORT NURSING AND REHABILITATION,100,True
Concord Health and Rehabilitation Center,CONCORD HEALTH AND REHABILITATION CENTER,,CONCORD HEALTH AND REHABILITATION CENTER,20201104,OH,SCIOTO,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONCORD HEALTH AND REHABILITATION CENTER,100,True
Edgewood Manor of Lucasville I,EDGEWOOD MANOR OF LUCASVILLE I,,EDGEWOOD MANOR OF LUCASVILLE I,20201104,OH,SCIOTO,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EDGEWOOD MANOR OF LUCASVILLE I,100,True
Edgewood Manor of Lucasville II,EDGEWOOD MANOR OF LUCASVILLE II,,EDGEWOOD MANOR OF LUCASVILLE II,20201104,OH,SCIOTO,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EDGEWOOD MANOR OF LUCASVILLE II,100,True
Heritage Pointe,HERITAGE POINTE,,,20201104,OH,SCIOTO,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORTSMOUTH HEALTHCARE,48,False
Hillview,HILL VIEW RETIREMENT CENTER,x,HILL VIEW RETIREMENT CENTER,20201104,OH,SCIOTO,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HILL VIEW RETIREMENT CENTER,100,True
Minford Retirement Center,MINFORD RETIREMENT CENTER,,,20201104,OH,SCIOTO,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRYSTAL CARE CENTER OF FRANKLIN FURNACE,86,False
Portsmouth Health and Rehab,PORTSMOUTH HEALTH AND REHABILITATION,,PORTSMOUTH HEALTH AND REHABILITATION,20201104,OH,SCIOTO,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORTSMOUTH HEALTH AND REHABILITATION,100,True
Resthaven,RESTHAVEN,,,20201104,OH,SCIOTO,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REST HAVEN NURSING HOME,80,False
River Bend House,RIVER BEND HOUSE,,,20201104,OH,SCIOTO,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REST HAVEN NURSING HOME,48,False
River Run Healthcare of Franklin Furnace,RIVER RUN HEALTHCARE OF FRANKLIN FURNACE,,,20201104,OH,SCIOTO,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORTSMOUTH HEALTHCARE,86,False
