,Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,Geolocation
24208,05/31/2020,366338,NATIONAL CHURCH RESIDENCES CHILLICOTHE,142 UNIVERSITY DRIVE,CHILLICOTHE,OH,45601.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,80.0,54.0,Y,Y,N,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-83.007051 39.335226)
24210,05/31/2020,505329,BUENA VISTA HEALTHCARE,151 BUENA VISTA DRIVE,COLVILLE,WA,99114.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,34.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-117.919848 48.56135100000001)
24211,05/31/2020,375178,GRACE LIVING CENTER-STILLWATER,1215 WEST 10TH STREET,STILLWATER,OK,74074.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-97.073137 36.111318)
24217,05/31/2020,375310,LAKE COUNTRY NURSING CENTER,301 C E COLSTON DRIVE,MARIETTA,OK,73448.0,Y,Y,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69.0,48.0,Y,Y,Y,N,0.0,0.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-97.132357 33.942496)
24219,05/31/2020,475050,THOMPSON HOUSE NURSING HOME,80 MAPLE STREET,BRATTLEBORO,VT,5301.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-72.566045 42.844552)
24220,05/31/2020,675317,DEERINGS NURSING AND REHABILITATION LP,1020 N COUNTY RD WEST,ODESSA,TX,79763.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.0,69.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-102.390651 31.845158999999995)
24222,05/31/2020,676408,THE LODGE AT BEAR CREEK,3729 IRA E WOODS AVENUE,GRAPEVINE,TX,76051.0,N,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-97.128672 32.913951)
24225,05/31/2020,525681,NAZARETH HEALTH AND REHAB CENTER,814 JACKSON ST,STOUGHTON,WI,53589.0,Y,Y,0.0,1.0,0.0,1.0,3.0,8.0,1.0,14.0,0.0,0.0,99.0,67.0,Y,Y,Y,N,0.0,0.0,1.0,9.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,14.9,0.0,0.0,POINT (-89.230366 42.920381)
24226,05/31/2020,335269,THE WARTBURG HOME,BRADLEY AVENUE,MOUNT VERNON,NY,10552.0,Y,Y,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,210.0,122.0,Y,N,Y,N,1.0,1.0,0.0,0.0,0.0,1.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,8.2,,
24230,05/31/2020,365331,"SHELBY POINTE, INC",100 ROGERS LANE,SHELBY,OH,44875.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,34.0,Y,Y,N,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-82.651757 40.870172)
24232,05/31/2020,676442,ROLLINGBROOK REHABILITATION AND HEALTHCARE CENTER,750 ROLLINGBROOK DR,BAYTOWN,TX,77521.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,124.0,95.0,Y,N,Y,N,1.0,1.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-94.972112 29.761362)
24234,05/31/2020,495356,HERITAGE HALL BLACKSBURG,3610 SOUTH MAIN STREET,BLACKSBURG,VA,24060.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,122.0,Y,Y,N,N,0.0,0.0,0.0,6.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-80.407695 37.18701200000001)
24235,05/31/2020,315455,ROYAL HEALTH GATE NRSG REHAB,1314 BRUNSWICK AVENUE,TRENTON,NJ,8638.0,Y,Y,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,149.0,108.0,Y,N,Y,N,1.0,1.0,0.0,1.0,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,27.8,0.0,0.0,POINT (-74.744566 40.24327)
24236,05/31/2020,315237,SOUTHGATE HEALTH CARE CTR,449 S PENNSVILLE-AUBURN ROAD,CARNEYS POINT,NJ,8069.0,Y,N,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,152.0,93.0,Y,N,Y,N,3.0,7.0,8.0,10.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-75.471463 39.688991)
24238,05/31/2020,345253,THE LODGE AT MILLS RIVER,5593 OLD HAYWOOD ROAD,MILLS RIVER,NC,28759.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,42.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-82.5743 35.422997)
24240,05/31/2020,365937,BRIAR HILL HEALTH CARE RESIDEN,15950 PIERCE ST,MIDDLEFIELD,OH,44062.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-81.073064 41.464801)
24241,05/31/2020,325071,AZTEC HEALTHCARE,500 CARE LANE,AZTEC,NM,87410.0,Y,Y,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,64.0,Y,Y,Y,N,0.0,1.0,0.0,0.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-108.020414 36.835292)
24244,05/31/2020,505382,REGENCY WENATCHEE REHABILIATION & NURSING CENTER,1326 RED APPLE RD,WENATCHEE,WA,98801.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,37.0,Y,N,Y,N,0.0,0.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-120.33442099999999 47.407947)
24245,05/31/2020,676407,ONPOINTE TRANSITIONAL CARE AT TEXAS HEALTH ARLINGT,"800 W. RANDOL MILL ROAD, 6TH FLOOR",ARLINGTON,TX,76012.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,32.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-97.116086 32.750126)
24247,05/31/2020,366100,HEARTLAND OF CENTERVILLE,1001 ALEX BELL ROAD,CENTERVILLE,OH,45459.0,Y,Y,0.0,0.0,0.0,0.0,7.0,11.0,1.0,1.0,0.0,0.0,140.0,97.0,Y,Y,Y,N,1.0,1.0,2.0,2.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-84.137054 39.643317)
24252,05/31/2020,366037,BOWERSTON HILLS  NURSING & REHABILITATION,9076 CUMBERLAND ROAD,BOWERSTON,OH,44695.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,3.0,0.0,Y,Y,0.0,0.0,,POINT (-81.203989 40.444361)
24253,05/31/2020,345321,KERR LAKE NURSING AND REHABILITATION CENTER,1245 PARK AVENUE,HENDERSON,NC,27536.0,Y,Y,0.0,1.0,10.0,26.0,0.0,10.0,0.0,2.0,0.0,2.0,92.0,54.0,Y,N,Y,N,0.0,17.0,1.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,481.5,37.0,7.7,POINT (-78.417367 36.322335)
24257,05/31/2020,375410,GRAN GRANS PLACE,1110 SOUTH CORNWELL DRIVE,YUKON,OK,73099.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-97.742533 35.495854)
24261,05/31/2020,555574,STONEY POINT HEALTHCARE CENTER,21820 CRAGGY VIEW ST.,CHATSWORTH,CA,91311.0,Y,Y,0.0,5.0,2.0,2.0,1.0,2.0,0.0,10.0,0.0,3.0,128.0,82.0,Y,N,Y,N,2.0,2.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,24.4,36.6,150.0,POINT (-118.60504100000001 34.255415)
24266,05/31/2020,445392,"ADAMSPLACE, LLC",1927 MEMORIAL BOULEVARD,MURFREESBORO,TN,37129.0,Y,Y,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,90.0,83.0,Y,N,Y,N,0.0,1.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,N,,,,,0.0,0.0,,POINT (-86.385075 35.876162)
24269,05/31/2020,366467,FOUNTAINS TRANSITIONAL CARE CENTER,1400 MALLARD COVE DRIVE,CINCINNATI,OH,45246.0,Y,Y,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,0.0,0.0,54.0,50.0,Y,N,Y,N,0.0,0.0,0.0,3.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-84.447687 39.283328)
24273,05/31/2020,365763,ARBORS AT MIFFLIN,1600 CRIDER RD,MANSFIELD,OH,44903.0,Y,Y,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,81.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-82.455827 40.785986)
24274,05/31/2020,425064,OAKHAVEN NURSING CENTER,123 OAK STREET,DARLINGTON,SC,29532.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,88.0,73.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-79.870109 34.30589)
24277,05/31/2020,676218,JEFFERSON NURSING AND REHABILITATION CENTER,3840 POINTE PARKWAY,BEAUMONT,TX,77706.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-94.181472 30.117511)
24278,05/31/2020,345311,ROXBORO HEALTHCARE & REHAB CENTER,901 RIDGE ROAD,ROXBORO,NC,27573.0,Y,Y,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,140.0,106.0,Y,N,Y,N,0.0,1.0,2.0,7.0,0.0,0.0,Y,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-78.981946 36.4115)
24279,05/31/2020,445363,STANDING STONE CARE AND REHAB,410 W CRAWFORD AVENUE,MONTEREY,TN,38574.0,Y,Y,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,115.0,68.0,Y,N,Y,N,0.0,0.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-85.270912 36.151966)
24283,05/31/2020,44E175,HICKMAN COMMUNITY NURSING HOME,135 E SWAN ST,CENTERVILLE,TN,37033.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,40.0,23.0,Y,Y,Y,N,0.0,0.0,0.0,22.0,0.0,0.0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-87.460242 35.779539)
24288,05/31/2020,445459,HANCOCK MANOR NURSING HOME,1423 MAIN STREET,SNEEDVILLE,TN,37869.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,30.0,Y,Y,N,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-83.215038 36.531728)
24290,05/31/2020,525599,ST JOSEPH RESIDENCE,107 E BECKERT RD,NEW LONDON,WI,54961.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,50.0,42.0,Y,N,Y,N,0.0,0.0,1.0,18.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-88.739502 44.373856)
24292,05/31/2020,335511,EAST SIDE NURSING HOME,62 PROSPECT ST,WARSAW,NY,14569.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-78.128744 42.73867)
24293,05/31/2020,365716,GRAFTON OAKS NURSING AND REHABILITATION CENTER,405 GRAFTON AVENUE,DAYTON,OH,45406.0,Y,Y,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,89.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-84.207329 39.769368)
24295,05/31/2020,675439,MULLICAN CARE CENTER,105 N MAIN ST,SAVOY,TX,75479.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,72.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-96.364847 33.599927)
24298,05/31/2020,366045,JENNINGS HALL,10204 GRANGER ROAD,GARFIELD HEIGHTS,OH,44125.0,Y,Y,0.0,1.0,0.0,8.0,0.0,58.0,1.0,12.0,0.0,6.0,174.0,139.0,Y,N,Y,N,0.0,0.0,0.0,33.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,57.6,43.2,75.0,POINT (-81.612656 41.417063)
24302,05/31/2020,525676,PINE HAVEN CHRISTIAN HOME,220 HAVEN DRIVE,SHEBOYGAN FALLS,WI,53085.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-87.82826 43.73812)
24305,05/31/2020,676372,TWIN PINES NORTH NURSING AND REHABILITATION CENTER,1301 MALLETTE DRIVE,VICTORIA,TX,77904.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-97.010784 28.869125)
24306,05/31/2020,525479,DOVE HEALTHCARE - BLOOMER,2217 DUNCAN ROAD,BLOOMER,WI,54724.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-91.502988 45.103411)
24307,05/31/2020,395286,BROAD MOUNTAIN HEALTH AND REHABILITATION CENTER,500 WEST LAUREL STREET,FRACKVILLE,PA,17931.0,Y,Y,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,129.0,97.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-76.235921 40.777411)
24308,05/31/2020,425380,LAKES AT LITCHFIELD,120 LAKES AT LITCHFIELD DRIVE,PAWLEYS ISLAND,SC,29585.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-79.106708 33.475589)
24314,05/31/2020,495272,CANTERBURY REHABILITATION & HEALTH CARE CENTER,1776 CAMBRIDGE DRIVE,RICHMOND,VA,23238.0,Y,Y,7.0,20.0,0.0,32.0,0.0,0.0,2.0,8.0,0.0,2.0,190.0,115.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,278.3,17.4,6.3,POINT (-77.636251 37.615002)
24315,05/31/2020,675281,COTTONWOOD CREEK HEALTHCARE COMMUNITY,1111 W SHORE DR,RICHARDSON,TX,75080.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-96.748219 32.964268)
24317,05/31/2020,395717,LINWOOD NURSING AND REHABILITATION CENTER,100 LYNWOOD AVENUE,SCRANTON,PA,18505.0,Y,Y,0.0,2.0,2.0,33.0,1.0,1.0,3.0,9.0,0.0,7.0,102.0,50.0,Y,N,Y,N,0.0,5.0,1.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,,,,,660.0,140.0,21.2,POINT (-75.640833 41.394602)
24322,05/31/2020,555216,SHARP CHULA VISTA MED CTR SNF,751 MEDICAL CENTER COURT,CHULA VISTA,CA,91911.0,Y,Y,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,100.0,79.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-117.02399 32.618448)
24325,05/31/2020,525389,BAY AT NORTH RIDGE HEALTH AND REHABILITATION,1445 N 7TH ST,MANITOWOC,WI,54220.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,94.0,59.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,13.0,0.0,Y,Y,0.0,0.0,,POINT (-87.656506 44.11529000000001)
24326,05/31/2020,455941,WINDCREST NURSING AND REHABILITATION CENTER,210 WEST WINDCREST ST,FREDERICKSBURG,TX,78624.0,Y,Y,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,120.0,76.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-98.882252 30.263988)
24329,05/31/2020,315295,HACKENSACK MERIDIAN HEALTH NURSING & REHAB,50 POLIFLY ROAD,HACKENSACK,NJ,7601.0,Y,Y,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,180.0,130.0,Y,N,Y,N,1.0,4.0,0.0,0.0,0.0,1.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,15.4,,POINT (-74.055304 40.879445)
24330,05/31/2020,455575,RETAMA MANOR NURSING CENTER,2322 MORGAN AVE,CORPUS CHRISTI,TX,78405.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,176.0,108.0,Y,Y,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,0.0,0.0,,POINT (-97.41492100000002 27.778087)
24331,05/31/2020,365489,EDGEWOOD MANOR REHABILITATION  & HEALTHCARE CENTER,1330 S FULTON ST,PORT CLINTON,OH,43452.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,80.0,49.0,Y,Y,N,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-82.933766 41.499094)
24332,05/31/2020,345574,BELLAROSE NURSING AND REHAB,200 BELLAROSE LAKE WAY,GARNER,NC,27529.0,Y,Y,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,100.0,72.0,Y,Y,Y,N,0.0,0.0,0.0,2.0,0.0,0.0,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-78.9915 35.886792)
24335,05/31/2020,525648,BARRON CARE AND REHABILITATION,660 E BIRCH AVE,BARRON,WI,54812.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,34.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-91.849856 45.408515)
24336,05/31/2020,555245,NEW HOPE POST ACUTE CARE,2586 BUTHMANN AVE,TRACY,CA,95376.0,Y,Y,9.0,9.0,9.0,9.0,19.0,24.0,1.0,19.0,0.0,0.0,99.0,71.0,N,N,N,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,,,,126.8,0.0,0.0,POINT (-121.43227300000001 37.755632)
24338,05/31/2020,365404,LAURELS OF MT VERNON THE,13 AVALON ROAD,MOUNT VERNON,OH,43050.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,83.0,Y,Y,N,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-82.465996 40.414366)
24342,05/31/2020,555820,HEALDSBURG SENIOR LIVING COMMUNITY,725 GROVE STREET,HEALDSBURG,CA,95448.0,N,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-122.875761 38.626397)
24344,05/31/2020,375514,"LEXINGTON NURSING HOME, INC.",632 SOUTHEAST 3RD STREET,LEXINGTON,OK,73051.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,46.0,Y,Y,Y,N,0.0,1.0,0.0,2.0,0.0,0.0,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,,,,0.0,0.0,,POINT (-97.330987 35.006664)
24348,05/31/2020,366120,CEDAR VILLAGE SENIOR LIVING,5467 CEDAR VILLAGE DRIVE,MASON,OH,45040.0,Y,Y,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,162.0,129.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,15.5,0.0,0.0,POINT (-84.317998 39.328704)
24349,05/31/2020,475027,BENNINGTON HEALTH & REHAB,2 BLACKBERRY LANE,BENNINGTON,VT,5201.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.204898 42.869169)
24350,05/31/2020,315522,POWERBACK REHABILITATION PISCATAWAY,10 STERLING DRIVE,PISCATAWAY,NJ,8854.0,Y,Y,15.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,124.0,43.0,Y,N,Y,N,0.0,1.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-74.474721 40.537364000000004)
24353,05/31/2020,366402,WILLOW RIDGE OF MENNONITE HOME COMMUNITIES OF OHIO,101 WILLOW RIDGE DRIVE,BLUFFTON,OH,45817.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,19.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,
